country,macro_zones,region_group,regional_development,region_economic_development,income_group,gni_per_capita_usd,gdp_per_capita_usd,"Suicide mortality rate (per 100,000 population)","Intentional homicides (per 100,000 people)",sec_enrol_pct_gross,edu_spend_pct_gdp,Population growth (annual %),urban_population_pct,rural_population,Refugee population by country or territory of asylum,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Labor force with advanced education (% of total working-age population with advanced education),internet_use_pct,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment, total (% of total labor force) (national estimate)",health_expenditure_pct_gdp,foreign_investment_pct_gdp,ease_of _doing _business_rank,business_environment_group,renewable_energy_pct,infant_mortality_per_1k,pm25_ug_m3,control_of_corruption_pctile
Argentina,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"12,890.00","14,187.48",8.4,4.62,115.43,4.81,0.29,92.46,7.54,"4,104.00",365.68,4.04,80.3,89.23,62.29,50.23,25.17,26.77,23.78,2.49,6.14,9.71,3.69,126,Low,9.2,8.4,14.91,41.98
Australia,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,high,"63,150.00","64,820.91",12.5,0.74,133.28,5.21,2.45,86.62,13.38,"34,502.00",571.84,14.01,79.33,94.88,67.17,42.26,35.76,38.91,32.48,2.37,3.67,10.54,1.88,14,High,12.3,3.2,8.25,95.75
Austria,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"55,030.00","56,033.57",14.6,0.73,101.46,4.77,0.99,59.53,40.47,"257,811.00",72.92,6.44,79.74,95.33,61.61,38.93,16.61,16.65,16.56,3.6,5.26,12.1,0.57,27,High,36,2.6,10.93,83.49
Belgium,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"54,580.00","54,700.91",18.3,1.08,142.92,6.36,0.91,98.19,1.81,"167,831.00",106.37,7.15,75.91,94.63,54.99,26.62,39.39,41.25,37.42,2.95,5.53,11.04,-0.43,46,Moderate,11.7,3.1,11.22,89.15
Bolivia,Western_Hemisphere,LatinAmerica,middle,emerging_developing,lower_middle,"3,620.00","3,686.28",6.2,3.49,92.4,7.58,1.37,71.19,28.81,"1,117.00",55.19,1.94,85.6,73.28,78.38,72.32,17.88,18.25,17.48,4.85,3.02,8.16,0.65,150,Low,12.8,19.6,22.88,21.7
Brazil,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"9,280.00","10,294.87",6.9,22.38,106.03,5.5,0.4,87.79,12.21,"235,765.00","1,300.17",2.27,81.67,84.15,62.75,44.7,16.54,18.29,14.55,4.25,7.95,9.89,2.95,124,Low,46.5,12.5,12.18,34.43
Bulgaria,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"14,280.00","15,885.54",9.7,1.28,96.67,4.73,-3.01,76.7,23.3,"97,618.00",53.37,6.17,75.87,80.39,55.66,27.31,26.4,30.28,22.1,1.87,4.32,8.56,3.96,61,Moderate,20.4,5,17.15,50
Cambodia,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,lower_middle,"2,390.00","2,429.75",4.9,1.26,60.06,2.95,1.28,25.57,74.43,24,48.77,1.03,78.52,56.73,79.51,79.46,4.56,3.24,6.17,0.98,0.4,7.53,9.35,144,Low,52.4,20.3,24.14,9.43
Chile,Western_Hemisphere,LatinAmerica,middle,emerging_developing,high,"15,800.00","17,067.81",9,3.63,106.07,5,0.54,88.01,11.99,"2,338.00",121.46,4.27,85.87,94.12,61.52,44.8,21.54,20.93,22.19,7.02,9.01,9,6.48,59,Moderate,24.2,5.4,23.28,80.66
China,Eastern_Hemisphere,Asia-Pacific,middle,emerging_developing,upper_middle,"13,390.00","12,614.06",8.1,0.5,102.97,4.02,-0.1,64.57,35.43,296,"15,943.99",9.4,78.6,77.48,63.6,48.01,7.68,7.4,7.95,4.4,5.11,5.38,0.24,32,High,15.2,4.8,34.81,54.25
Canada,Western_Hemisphere,North_America,high,developed_industrialised,high,"54,040.00","53,431.19",11.8,2.07,108.61,4.14,2.93,81.86,18.14,"169,448.00",747.68,14.34,73.52,94,65.61,42.87,32.89,34.43,31.29,4.24,5.42,11.15,2.23,23,High,23.8,4.3,6.57,94.81
Croatia,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"20,590.00","21,865.46",16.4,0.81,105.58,4.06,0.1,58.58,41.43,"25,029.00",25.01,4.52,73.19,83.24,52.26,15.5,19.04,21.04,16.85,3.58,6.09,8.1,3.96,51,Moderate,34.1,3.9,16.12,59.91
Costa Rica,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"14,260.00","16,942.03",8.1,11.41,133.16,6.25,0.47,82.62,17.38,"23,422.00",16.47,1.68,73,85.13,56.83,53.11,21.61,22.53,20.54,5.23,8.33,7.57,5.42,74,Moderate,34.2,6.9,14.31,72.64
Dominican Republic,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"9,710.00","10,717.63",4.9,10.54,72.28,3.94,0.89,84.45,15.55,778,48.4,2.77,81.36,84.38,64.28,61.43,18.71,22.75,14.12,5.67,5.56,4.92,3.91,115,Low,14.8,26.8,19.83,37.74
Ecuador,Western_Hemisphere,LatinAmerica,middle,emerging_developing,upper_middle,"6,590.00","6,609.80",7.6,14.02,93.42,3.89,0.87,64.79,35.21,"62,899.00",73.6,2.52,76.72,72.69,64.49,59.33,12.13,13.06,11.06,5.5,3.51,8.29,0.32,129,Low,18.9,10.5,16.66,27.83
Estonia,Eastern_Hemisphere,Europe_CentralAsia,high,developed_industrialised,high,"27,620.00","30,133.30",14.9,1.96,112.55,5.26,1.58,69.81,30.19,"42,005.00",14.36,8.35,78.16,93.18,66.46,37.74,32.66,37.95,26.58,3.56,6.38,6.94,12.96,18,High,38,1.5,6.15,91.51
