country,region_group,income_group,gdp_per_capita,internet_use_pct,internet_access,infant_mortality_per_1k,unemployment_pct,population_growth_pct,population_growth,population_change,business_environment_group,health_expenditure_pct_gdp,renewable_energy_pct
Argentina,LatinAmerica,middle,"14,187.48",89.23,Medium,8.4,6.14,0.29,low growth,not declining,Low,9.71,9.2
Australia,Asia-Pacific,high,"64,820.91",94.88,High,3.2,3.67,2.45,high growth,not declining,High,10.54,12.3
Austria,Europe_CentralAsia,high,"56,033.57",95.33,High,2.6,5.26,0.99,low growth,not declining,High,12.1,36
Belgium,Europe_CentralAsia,high,"54,700.91",94.63,High,3.1,5.53,0.91,low growth,not declining,Moderate,11.04,11.7
Bolivia,LatinAmerica,low,"3,686.28",73.28,Low,19.6,3.02,1.37,low growth,not declining,Low,8.16,12.8
Brazil,LatinAmerica,middle,"10,294.87",84.15,Medium,12.5,7.95,0.4,low growth,not declining,Low,9.89,46.5
Bulgaria,Europe_CentralAsia,high,"15,885.54",80.39,Medium,5,4.32,-3.01,declining,declining,Moderate,8.56,20.4
Cambodia,Asia-Pacific,low,"2,429.75",56.73,Low,20.3,0.4,1.28,low growth,not declining,Low,7.53,52.4
Canada,North_America,high,"53,431.19",94,High,4.3,5.42,2.93,high growth,not declining,High,11.15,23.8
Chile,LatinAmerica,high,"17,067.81",94.12,High,5.4,9.01,0.54,low growth,not declining,Moderate,9,24.2
China,Asia-Pacific,middle,"12,614.06",77.48,Medium,4.8,5.11,-0.1,declining,declining,High,5.38,15.2
Costa Rica,LatinAmerica,middle,"16,942.03",85.13,Medium,6.9,8.33,0.47,low growth,not declining,Moderate,7.57,34.2
Croatia,Europe_CentralAsia,high,"21,865.46",83.24,Medium,3.9,6.09,0.1,low growth,not declining,Moderate,8.1,34.1
Dominican Republic,LatinAmerica,middle,"10,717.63",84.38,Medium,26.8,5.56,0.89,low growth,not declining,Low,4.92,14.8
