country,region_group,income_group,gdp_per_capita,internet_use_pct,unemployment_pct,population_growth
Argentina,LatinAmerica,middle,"14,187.48",89.23,6.14,low growth
Australia,Asia-Pacific,high,"64,820.91",94.88,3.67,high growth
Austria,Europe_CentralAsia,high,"56,033.57",95.33,5.26,low growth
Belgium,Europe_CentralAsia,high,"54,700.91",94.63,5.53,low growth
Bolivia,LatinAmerica,low,"3,686.28",73.28,3.02,low growth
Brazil,LatinAmerica,middle,"10,294.87",84.15,7.95,low growth
Bulgaria,Europe_CentralAsia,high,"15,885.54",80.39,4.32,declining
Cambodia,Asia-Pacific,low,"2,429.75",56.73,0.4,low growth
Canada,North_America,high,"53,431.19",94,5.42,high growth
Chile,LatinAmerica,high,"17,067.81",94.12,NA,low growth
China,Asia-Pacific,middle,"12,614.06",77.48,5.11,declining
Costa Rica,LatinAmerica,middle,"16,942.03",85.13,8.33,low growth
Croatia,Europe_CentralAsia,high,"21,865.46",83.24,6.09,low growth
Dominican Republic,LatinAmerica,middle,"10,717.63",84.38,5.56,low growth
Ecuador,LatinAmerica,middle,"6,609.80",72.69,3.51,low growth
Estonia,Europe_CentralAsia,high,"30,133.30",93.18,6.38,high growth
Finland,Europe_CentralAsia,high,"52,925.69",93.51,7.15,low growth
France,Europe_CentralAsia,high,"44,690.93",86.84,7.34,low growth
Germany,Europe_CentralAsia,high,"54,343.23",92.48,3.07,declining
Guatemala,LatinAmerica,middle,"5,762.82",54.4,2.34,high growth
"Hong Kong SAR, China",Asia-Pacific,high,"50,531.74",95.61,2.95,high growth
Hungary,Europe_CentralAsia,high,"22,141.87",NA,4.11,declining
Iceland,Europe_CentralAsia,high,"79,636.95",99.86,3.52,high growth
India,Asia-Pacific,low,"2,480.79",43.41,4.17,low growth
Ireland,Europe_CentralAsia,high,"103,887.80",95.59,4.29,high growth
Israel,MENA,high,"52,642.43",91.85,3.37,high growth
Italy,Europe_CentralAsia,high,"39,003.32",87.03,7.63,declining
Jamaica,LatinAmerica,middle,"6,839.73",85.12,3.02,low growth
Japan,Asia-Pacific,high,"33,766.53",84.92,2.6,declining
Kazakhstan,Europe_CentralAsia,middle,"12,918.87",92.88,4.86,low growth
Latvia,Europe_CentralAsia,high,"22,502.84",92.19,6.47,declining
Lebanon,MENA,low,NA,90.05,11.3,low growth
Luxembourg,Europe_CentralAsia,high,"128,678.19",99.35,5.18,high growth
Malaysia,Asia-Pacific,middle,"11,379.09",97.69,3.93,low growth
Malta,MENA,high,"40,395.77",91.92,3.11,high growth
Mexico,LatinAmerica,middle,"13,790.02",81.18,2.77,low growth
Mozambique,Sub-Saharan Africa,low,622.99,21.21,6.79,high growth
Netherlands,Europe_CentralAsia,high,"64,572.01",97.01,3.54,low growth
New Zealand,Asia-Pacific,high,"48,280.81",95.73,3.73,high growth
Norway,Europe_CentralAsia,high,"87,925.09",99,NA,low growth
Pakistan,Asia-Pacific,low,"1,365.28",32.95,6.34,high growth
Peru,LatinAmerica,middle,"7,906.59",74.68,4.9,low growth
Philippines,Asia-Pacific,low,"3,804.87",75.21,2.6,low growth
Poland,Europe_CentralAsia,high,"22,056.67",86.41,2.74,declining
Portugal,Europe_CentralAsia,high,"27,331.21",85.79,6.51,low growth
Qatar,MENA,high,"80,195.87",100,0.13,declining
Romania,Europe_CentralAsia,high,"18,404.27",89.2,5.59,low growth
Russian Federation,Europe_CentralAsia,high,"13,817.05",92.25,3.08,declining
Saudi Arabia,MENA,high,"32,093.96",100,4.01,high growth
Singapore,Asia-Pacific,high,"84,734.26",94.29,3.44,high growth
South Africa,Sub-Saharan Africa,middle,"6,022.54",74.7,32.1,low growth
Spain,Europe_CentralAsia,high,"33,509.01",95.45,12.18,low growth
Sweden,Europe_CentralAsia,high,"55,516.84",95.7,7.61,low growth
Ukraine,Europe_CentralAsia,middle,"5,069.70",79.22,9.83,declining
United Arab Emirates,MENA,high,"49,040.69",100,2.15,high growth
United Kingdom,Europe_CentralAsia,high,"49,463.86",95.34,4.03,low growth
United States,North_America,high,"82,769.41",97.13,3.64,low growth
